make_model,make,location,price,body_type,type,doors,mileage,gearbox,fuel_type,seller,power,gears,emission_class,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Mercedes Benz A 160,Mercedes Benz,ES,16950,Compact,Used,5.0,120200.0,Manual,Diesel,Dealer,75.0,6.0,Euro 6,6.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,46990,Compact,Used,5.0,18995.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,2.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,16800,Compact,Used,5.0,197000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,7.0,Standart,Medium,standard
Mercedes Benz C 160,Mercedes Benz,DE,4690,Compact,Used,3.0,165000.0,Manual,Benzin,Dealer,90.0,6.0,Other,17.0,Standart,Medium,standard
Mercedes Benz CLA 180,Mercedes Benz,ES,22550,Compact,Used,5.0,83339.0,Manual,Diesel,Dealer,90.0,7.0,Euro 6,4.0,Standart,Low,luxury
Mercedes Benz A 220,Mercedes Benz,ES,26900,Compact,Used,5.0,48900.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,BE,44999,Compact,Used,5.0,56876.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,3.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,ES,23900,Compact,Used,5.0,21854.0,Automatic,Diesel,Dealer,102.0,7.0,Euro 6,4.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,BE,14200,Compact,Used,5.0,99016.0,Manual,Diesel,Dealer,66.0,5.0,Euro 6,7.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,37999,Compact,Used,5.0,90000.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,ES,23999,Compact,Used,5.0,25914.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,9.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,BE,24400,Compact,Used,5.0,27150.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,2.0,Standart,Low,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,16999,Compact,Used,5.0,210000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,DE,7450,Compact,Used,5.0,157500.0,Manual,Diesel,Dealer,80.0,6.0,Other,12.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,BE,38999,Compact,Used,5.0,21496.0,Automatic,Benzin,Dealer,118.0,8.0,Euro 6,1.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,41900,Compact,Used,5.0,44000.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,3.0,Standart,Medium,standard
